(0, 2)
(0, 3)
(1, 11)
(1, 15)
(2, 0)
(2, 6)
(2, 3)
(2, 4)
(2, 6)
(3, 0)
(3, 2)
(3, 4)
(3, 5)
(3, 8)
(4, 2)
(4, 3)
(4, 5)
(4, 6)
(5, 3)
(5, 4)
(5, 6)
(5, 7)
(5, 8)
(6, 2)
(6, 4)
(6, 5)
(6, 7)
(6, 9)
(7, 5)
(7, 6)
(7, 8)
(7, 9)
(7, 10)
(7, 14)
(8, 3)
(8, 5)
(8, 7)
(8, 10)
(8, 11)
(9, 6)
(9, 7)
(9, 14)
(10, 7)
(10, 8)
(10, 11)
(10, 12)
(10, 14)
(11, 1)
(11, 8)
(11, 10)
(11, 12)
(11, 15)
(12, 10)
(12, 11)
(12, 13)
(12, 14)
(13, 12)
(13, 14)
(13, 15)
(14, 7)
(14, 9)
(14, 10)
(14, 12)
(14, 13)
(15, 11)
(15, 1)
(15, 13)
